Track file,G:\Water Maze Data\xxx_0001\data\track_00001.trk
Object,0
Samples,1500
Name,9,
Goal Position,NE,
Comment,,
Trial,1,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
135,10.7200,186.4042,123.3190,114.0000,center,q1,0.0000,39.7812,59.1005,2.0782,25.9779
136,10.8000,188.5427,122.2498,115.0000,center,q1,0.0000,38.1279,60.7603,2.3909,29.8862
137,10.8800,190.3247,121.1805,119.0000,center,q1,0.0000,36.8556,62.1270,2.0782,25.9779
138,10.9600,192.4632,120.4677,117.0000,center,q1,0.0000,35.0121,63.9727,2.2542,28.1769
139,11.0400,194.6017,119.3985,113.0000,center,q1,0.0000,33.1981,65.7531,2.3909,29.8862
140,11.1200,196.7402,118.6856,118.0000,center,q1,0.0000,31.2934,67.6539,2.2542,28.1769
141,11.2000,198.8786,117.9728,112.0000,center,q1,0.0000,29.3906,69.5757,2.2542,28.1769
142,11.2800,201.0171,117.2600,109.0000,center,q1,0.0000,27.4901,71.5170,2.2542,28.1769
143,11.3600,203.1556,116.5472,113.0000,center,q1,0.0000,25.5551,73.4762,2.2542,28.1769
144,11.4400,205.6505,116.1907,111.0000,center,q1,0.0000,23.1449,75.8649,2.5202,31.5028
145,11.5200,207.7890,115.4779,105.0000,wall,q1,0.0000,21.1368,77.8517,2.2542,28.1769
146,11.6000,209.9275,115.4779,112.0000,wall,q1,0.0000,19.0106,79.9625,2.1385,26.7310
147,11.6800,212.4223,115.4779,111.0000,wall,q1,0.0000,16.5339,82.4269,2.4949,31.1862
148,11.7600,214.9172,115.4779,106.0000,wall,q1,0.0000,14.0637,84.8930,2.4949,31.1862
149,11.8400,216.6993,115.8343,112.0000,wall,q1,0.0000,12.2484,86.7083,1.8174,22.7170
150,11.9200,218.8378,116.1907,108.0000,wall,q1,0.0000,10.0809,88.8761,2.1680,27.0997
151,12.0000,220.9763,116.5472,110.0000,wall,q1,0.0000,7.9137,91.0439,2.1680,27.0997
152,12.0800,222.4019,116.5472,94.0000,wall,q1,0.0000,6.5039,92.4535,1.4257,17.8207
153,12.1600,222.7583,116.5472,92.0000,wall,q1,0.0000,6.1526,92.8059,0.3564,4.4552
154,12.2400,222.7583,116.5472,83.0000,wall,q1,0.0000,6.1526,92.8059,0.0000,0.0000
155,12.3200,222.4019,116.1907,63.0000,wall,q1,0.0000,6.5719,92.4012,0.5040,6.3006
156,12.4000,222.0455,115.4779,54.0000,wall,q1,0.0000,7.1015,91.9477,0.7970,9.9621
157,12.4800,221.6891,115.1215,47.0000,wall,q1,0.0000,7.4932,91.5461,0.5040,6.3006
158,12.5600,222.0455,114.7651,55.0000,wall,q1,0.0000,7.1638,91.8523,0.5040,6.3006
159,12.6400,222.0455,114.0523,64.0000,wall,q1,0.0000,7.2694,91.7623,0.7128,8.9103
160,12.7200,222.0455,113.3394,72.0000,wall,q1,0.0000,7.4421,91.6777,0.7128,8.9103
161,12.8000,222.0455,112.9830,77.0000,wall,q1,0.0000,7.4847,91.6375,0.3564,4.4552
162,12.8800,222.0455,111.9138,88.0000,wall,q1,0.0000,7.5607,91.5250,1.0692,13.3655
163,12.9600,222.0455,110.4881,89.0000,wall,q1,0.0000,7.8411,91.3944,1.4257,17.8207
